,BOT_X,BOT_Y,CREW_X,CREW_Y,Optimal_Direction
0,0,0,0,0,
1,0,0,0,1,SE
2,0,0,0,2,RIGHT
3,0,0,0,3,RIGHT
4,0,0,0,4,RIGHT
5,0,0,0,5,
6,0,0,0,6,RIGHT
7,0,0,0,7,SE
8,0,0,0,8,RIGHT
9,0,0,0,9,SE
10,0,0,0,10,RIGHT
11,0,0,1,0,RIGHT
12,0,0,1,1,DOWN
13,0,0,1,2,SE
14,0,0,1,3,SE
15,0,0,1,4,
16,0,0,1,5,RIGHT
17,0,0,1,6,SE
18,0,0,1,7,RIGHT
19,0,0,1,8,RIGHT
20,0,0,1,9,RIGHT
21,0,0,1,10,RIGHT
22,0,0,2,0,SE
23,0,0,2,1,DOWN
24,0,0,2,2,SE
25,0,0,2,3,
26,0,0,2,4,SE
27,0,0,2,5,SE
28,0,0,2,6,RIGHT
29,0,0,2,7,SE
30,0,0,2,8,RIGHT
31,0,0,2,9,RIGHT
32,0,0,2,10,SE
33,0,0,3,0,SE
34,0,0,3,1,DOWN
35,0,0,3,2,SE
36,0,0,3,3,SE
37,0,0,3,4,SE
38,0,0,3,5,SE
39,0,0,3,6,SE
40,0,0,3,7,RIGHT
41,0,0,3,8,SE
42,0,0,3,9,SE
43,0,0,3,10,SE
44,0,0,4,0,DOWN
45,0,0,4,1,
46,0,0,4,2,SE
47,0,0,4,3,SE
48,0,0,4,4,
49,0,0,4,5,SE
50,0,0,4,6,
51,0,0,4,7,SE
52,0,0,4,8,
53,0,0,4,9,SE
54,0,0,4,10,SE
55,0,0,5,0,DOWN
56,0,0,5,1,SE
57,0,0,5,2,SE
58,0,0,5,3,SE
59,0,0,5,4,SE
60,0,0,5,5,STAY
61,0,0,5,6,SE
62,0,0,5,7,SE
63,0,0,5,8,SE
64,0,0,5,9,SE
65,0,0,5,10,SE
66,0,0,6,0,DOWN
67,0,0,6,1,DOWN
68,0,0,6,2,SE
69,0,0,6,3,SE
70,0,0,6,4,
71,0,0,6,5,SE
72,0,0,6,6,
73,0,0,6,7,
74,0,0,6,8,
75,0,0,6,9,
76,0,0,6,10,SE
77,0,0,7,0,DOWN
78,0,0,7,1,DOWN
79,0,0,7,2,DOWN
80,0,0,7,3,DOWN
81,0,0,7,4,SE
82,0,0,7,5,DOWN
83,0,0,7,6,DOWN
84,0,0,7,7,DOWN
85,0,0,7,8,SE
86,0,0,7,9,SE
87,0,0,7,10,SE
88,0,0,8,0,DOWN
89,0,0,8,1,DOWN
90,0,0,8,2,DOWN
91,0,0,8,3,DOWN
92,0,0,8,4,DOWN
93,0,0,8,5,DOWN
94,0,0,8,6,DOWN
95,0,0,8,7,
96,0,0,8,8,DOWN
97,0,0,8,9,SE
98,0,0,8,10,SE
99,0,0,9,0,DOWN
100,0,0,9,1,DOWN
101,0,0,9,2,DOWN
102,0,0,9,3,DOWN
103,0,0,9,4,DOWN
104,0,0,9,5,DOWN
105,0,0,9,6,DOWN
106,0,0,9,7,DOWN
107,0,0,9,8,DOWN
108,0,0,9,9,DOWN
109,0,0,9,10,
110,0,0,10,0,DOWN
111,0,0,10,1,DOWN
112,0,0,10,2,DOWN
113,0,0,10,3,DOWN
114,0,0,10,4,DOWN
115,0,0,10,5,DOWN
116,0,0,10,6,DOWN
117,0,0,10,7,DOWN
118,0,0,10,8,DOWN
119,0,0,10,9,DOWN
120,0,0,10,10,DOWN
121,0,1,0,0,SW
122,0,1,0,1,
123,0,1,0,2,STAY
124,0,1,0,3,RIGHT
125,0,1,0,4,SE
126,0,1,0,5,
127,0,1,0,6,RIGHT
128,0,1,0,7,RIGHT
129,0,1,0,8,RIGHT
130,0,1,0,9,RIGHT
131,0,1,0,10,RIGHT
132,0,1,1,0,STAY
133,0,1,1,1,SW
134,0,1,1,2,DOWN
135,0,1,1,3,SE
136,0,1,1,4,
137,0,1,1,5,RIGHT
138,0,1,1,6,RIGHT
139,0,1,1,7,RIGHT
140,0,1,1,8,RIGHT
141,0,1,1,9,RIGHT
142,0,1,1,10,RIGHT
143,0,1,2,0,DOWN
144,0,1,2,1,SE
145,0,1,2,2,DOWN
146,0,1,2,3,
147,0,1,2,4,RIGHT
148,0,1,2,5,RIGHT
149,0,1,2,6,RIGHT
150,0,1,2,7,RIGHT
151,0,1,2,8,RIGHT
152,0,1,2,9,RIGHT
153,0,1,2,10,RIGHT
154,0,1,3,0,DOWN
155,0,1,3,1,DOWN
156,0,1,3,2,DOWN
157,0,1,3,3,SE
158,0,1,3,4,SE
159,0,1,3,5,RIGHT
160,0,1,3,6,RIGHT
161,0,1,3,7,RIGHT
162,0,1,3,8,RIGHT
163,0,1,3,9,RIGHT
164,0,1,3,10,RIGHT
165,0,1,4,0,DOWN
166,0,1,4,1,
167,0,1,4,2,DOWN
168,0,1,4,3,DOWN
169,0,1,4,4,
170,0,1,4,5,RIGHT
171,0,1,4,6,
172,0,1,4,7,RIGHT
173,0,1,4,8,
174,0,1,4,9,RIGHT
175,0,1,4,10,RIGHT
176,0,1,5,0,DOWN
177,0,1,5,1,DOWN
178,0,1,5,2,DOWN
179,0,1,5,3,DOWN
180,0,1,5,4,DOWN
181,0,1,5,5,STAY
182,0,1,5,6,RIGHT
183,0,1,5,7,RIGHT
184,0,1,5,8,RIGHT
185,0,1,5,9,RIGHT
186,0,1,5,10,RIGHT
187,0,1,6,0,DOWN
188,0,1,6,1,DOWN
189,0,1,6,2,DOWN
190,0,1,6,3,DOWN
191,0,1,6,4,
192,0,1,6,5,DOWN
193,0,1,6,6,
194,0,1,6,7,
195,0,1,6,8,
196,0,1,6,9,
197,0,1,6,10,SE
198,0,1,7,0,DOWN
199,0,1,7,1,SE
200,0,1,7,2,DOWN
201,0,1,7,3,DOWN
202,0,1,7,4,DOWN
203,0,1,7,5,DOWN
204,0,1,7,6,DOWN
205,0,1,7,7,DOWN
206,0,1,7,8,DOWN
207,0,1,7,9,DOWN
208,0,1,7,10,SE
209,0,1,8,0,DOWN
210,0,1,8,1,DOWN
211,0,1,8,2,DOWN
212,0,1,8,3,DOWN
213,0,1,8,4,DOWN
214,0,1,8,5,DOWN
215,0,1,8,6,DOWN
216,0,1,8,7,
217,0,1,8,8,DOWN
218,0,1,8,9,DOWN
219,0,1,8,10,DOWN
220,0,1,9,0,DOWN
221,0,1,9,1,SE
222,0,1,9,2,DOWN
223,0,1,9,3,DOWN
224,0,1,9,4,DOWN
225,0,1,9,5,DOWN
226,0,1,9,6,DOWN
227,0,1,9,7,DOWN
228,0,1,9,8,DOWN
229,0,1,9,9,DOWN
230,0,1,9,10,
231,0,1,10,0,DOWN
232,0,1,10,1,DOWN
233,0,1,10,2,DOWN
234,0,1,10,3,DOWN
235,0,1,10,4,DOWN
236,0,1,10,5,DOWN
237,0,1,10,6,DOWN
238,0,1,10,7,DOWN
239,0,1,10,8,DOWN
240,0,1,10,9,DOWN
241,0,1,10,10,DOWN
242,0,2,0,0,SW
243,0,2,0,1,SW
244,0,2,0,2,
245,0,2,0,3,STAY
246,0,2,0,4,RIGHT
247,0,2,0,5,
248,0,2,0,6,SE
249,0,2,0,7,SE
250,0,2,0,8,SE
251,0,2,0,9,SE
252,0,2,0,10,RIGHT
253,0,2,1,0,LEFT
254,0,2,1,1,STAY
255,0,2,1,2,SW
256,0,2,1,3,DOWN
257,0,2,1,4,
258,0,2,1,5,SE
259,0,2,1,6,SE
260,0,2,1,7,SE
261,0,2,1,8,SE
262,0,2,1,9,RIGHT
263,0,2,1,10,SE
264,0,2,2,0,SW
265,0,2,2,1,DOWN
266,0,2,2,2,SW
267,0,2,2,3,
268,0,2,2,4,SE
269,0,2,2,5,SE
270,0,2,2,6,SE
271,0,2,2,7,SE
272,0,2,2,8,SE
273,0,2,2,9,SE
274,0,2,2,10,SE
275,0,2,3,0,DOWN
276,0,2,3,1,SW
277,0,2,3,2,DOWN
278,0,2,3,3,SE
279,0,2,3,4,SE
280,0,2,3,5,SE
281,0,2,3,6,SE
282,0,2,3,7,SE
283,0,2,3,8,SE
284,0,2,3,9,SE
285,0,2,3,10,SE
286,0,2,4,0,DOWN
287,0,2,4,1,
288,0,2,4,2,DOWN
289,0,2,4,3,SE
290,0,2,4,4,
291,0,2,4,5,SE
292,0,2,4,6,
293,0,2,4,7,SE
294,0,2,4,8,
295,0,2,4,9,SE
296,0,2,4,10,SE
297,0,2,5,0,DOWN
298,0,2,5,1,DOWN
299,0,2,5,2,DOWN
300,0,2,5,3,DOWN
301,0,2,5,4,DOWN
302,0,2,5,5,STAY
303,0,2,5,6,SE
304,0,2,5,7,SE
305,0,2,5,8,SE
306,0,2,5,9,SE
307,0,2,5,10,SE
308,0,2,6,0,DOWN
309,0,2,6,1,DOWN
310,0,2,6,2,DOWN
311,0,2,6,3,DOWN
312,0,2,6,4,
313,0,2,6,5,SE
314,0,2,6,6,
315,0,2,6,7,
316,0,2,6,8,
317,0,2,6,9,
318,0,2,6,10,SE
319,0,2,7,0,DOWN
320,0,2,7,1,DOWN
321,0,2,7,2,DOWN
322,0,2,7,3,DOWN
323,0,2,7,4,SE
324,0,2,7,5,SE
325,0,2,7,6,SE
326,0,2,7,7,SE
327,0,2,7,8,SE
328,0,2,7,9,SE
329,0,2,7,10,SE
330,0,2,8,0,DOWN
331,0,2,8,1,DOWN
332,0,2,8,2,DOWN
333,0,2,8,3,DOWN
334,0,2,8,4,DOWN
335,0,2,8,5,DOWN
336,0,2,8,6,SE
337,0,2,8,7,
338,0,2,8,8,SE
339,0,2,8,9,SE
340,0,2,8,10,SE
341,0,2,9,0,DOWN
342,0,2,9,1,DOWN
343,0,2,9,2,DOWN
344,0,2,9,3,DOWN
345,0,2,9,4,DOWN
346,0,2,9,5,DOWN
347,0,2,9,6,DOWN
348,0,2,9,7,SE
349,0,2,9,8,SE
350,0,2,9,9,SE
351,0,2,9,10,
352,0,2,10,0,DOWN
353,0,2,10,1,DOWN
354,0,2,10,2,DOWN
355,0,2,10,3,DOWN
356,0,2,10,4,DOWN
357,0,2,10,5,SE
358,0,2,10,6,DOWN
359,0,2,10,7,SE
360,0,2,10,8,SE
361,0,2,10,9,SE
362,0,2,10,10,SE
363,0,3,0,0,SW
364,0,3,0,1,SW
365,0,3,0,2,SW
366,0,3,0,3,
367,0,3,0,4,STAY
368,0,3,0,5,
369,0,3,0,6,RIGHT
370,0,3,0,7,RIGHT
371,0,3,0,8,RIGHT
372,0,3,0,9,RIGHT
373,0,3,0,10,RIGHT
374,0,3,1,0,SW
375,0,3,1,1,LEFT
376,0,3,1,2,STAY
377,0,3,1,3,SW
378,0,3,1,4,
379,0,3,1,5,RIGHT
380,0,3,1,6,RIGHT
381,0,3,1,7,RIGHT
382,0,3,1,8,RIGHT
383,0,3,1,9,RIGHT
384,0,3,1,10,RIGHT
385,0,3,2,0,SW
386,0,3,2,1,SW
387,0,3,2,2,DOWN
388,0,3,2,3,
389,0,3,2,4,RIGHT
390,0,3,2,5,RIGHT
391,0,3,2,6,RIGHT
392,0,3,2,7,RIGHT
393,0,3,2,8,RIGHT
394,0,3,2,9,RIGHT
395,0,3,2,10,RIGHT
396,0,3,3,0,DOWN
397,0,3,3,1,SW
398,0,3,3,2,SW
399,0,3,3,3,DOWN
400,0,3,3,4,DOWN
401,0,3,3,5,RIGHT
402,0,3,3,6,RIGHT
403,0,3,3,7,RIGHT
404,0,3,3,8,RIGHT
405,0,3,3,9,RIGHT
406,0,3,3,10,RIGHT
407,0,3,4,0,SW
408,0,3,4,1,
409,0,3,4,2,SW
410,0,3,4,3,DOWN
411,0,3,4,4,
412,0,3,4,5,DOWN
413,0,3,4,6,
414,0,3,4,7,RIGHT
415,0,3,4,8,
416,0,3,4,9,RIGHT
417,0,3,4,10,RIGHT
418,0,3,5,0,DOWN
